,City,Date,Cloudiness,Temperature,Humidity,Wind speed,Latitude,Longitude
372,Hualmay,1547956361,44,66.38,98,1.25,-11.1,-77.61
373,Portland,1547955420,90,45.48,92,4.7,45.52,-122.67
374,Morges,1547954400,75,27.75,92,1.12,46.51,6.5
375,Tecoanapa,1547952480,90,78.8,78,3.36,16.99,-99.26
376,Biryusinsk,1547956362,44,26.24,59,8.63,55.96,97.82
377,Venado Tuerto,1547956362,0,60.93,70,8.19,-33.75,-61.97
378,Pirovskoye,1547956362,64,20.88,84,6.96,57.63,92.27
379,Poya,1547956362,12,78.84,94,19.82,-21.35,165.16
380,Kruisfontein,1547956363,0,58.68,91,7.63,-34,24.73
381,Ondarroa,1547953200,92,43.95,87,3.36,43.32,-2.42
382,Anaconda,1547952780,90,35.06,84,8.05,46.13,-112.94
383,Payo,1547956363,44,85.28,74,8.97,-3.75,103.64
384,Sabha,1547956364,8,52.07,95,7.63,27.03,14.43
385,Slave Lake,1547954340,90,6.8,77,17.22,55.28,-114.77
386,Tilichiki,1547956273,92,25.97,84,9.19,60.47,166.1
387,Pangai,1547953200,75,82.4,88,11.41,-19.8,-174.35
388,Fershampenuaz,1547956364,80,11.12,75,4.61,53.52,59.82
389,Hudson Bay,1547956365,32,-20.57,87,3.83,52.86,-102.4
390,Kodiak,1547955300,1,8.08,55,4.7,39.95,-94.76
391,Severo-Kurilsk,1547956213,88,33.26,97,17.69,50.68,156.12
392,Dalvik,1547954400,68,28.4,100,8.05,57.79,14.13
393,Kakonko,1547956365,44,57.2,94,2.93,-3.28,30.97
394,Ust-Maya,1547956287,32,-37.76,75,3.38,60.42,134.54
395,Karasburg,1547956366,0,49.41,28,4.61,-28.01,18.75
396,Ulladulla,1547953200,75,77,61,9.17,-35.36,150.48
397,Bubaque,1547956366,0,75.56,100,15.57,11.28,-15.83
398,Namatanai,1547956366,92,80.64,100,16.58,-3.66,152.44
399,Aktau,1547955000,0,39.2,100,8.95,43.65,51.16
400,Strathmore,1547953200,40,33.66,40,4.7,51.04,-113.4
401,Umm Kaddadah,1547956367,0,50.49,40,8.63,13.6,26.69
402,Saldanha,1547956368,36,40.23,96,5.17,41.42,-6.55
403,Lupiro,1547956368,92,70.74,99,2.82,-8.39,36.67
404,Pokhara,1547956182,0,46.85,52,3.38,28.21,83.99
405,Hirara,1547953200,75,70.68,83,11.41,24.8,125.28
